text,label
What's causing delays on the tube?,disruptions
How long till next train from Green Park?,get_arrivals
Disruptions in the network now?,disruptions
When is the next train from Liverpool Street?,get_arrivals
What's the fare between Euston and Green Park?,get_price
"Umm, Green Park to King's Cross — how much?",get_price
How tall is Big Ben?,fallback
Is it expensive to go from Euston to Liverpool Street?,get_price
What's the weather like?,fallback
What's the status of the Circle line?,check_status
What's the status of the Circle line?,check_status
Ticket price from Paddington to Oxford Circus please?,get_price
When is the next train from King's Cross?,get_arrivals
"Umm, Green Park to Waterloo — how much?",get_price
Cost to travel from Waterloo to Paddington?,get_price
Order me a pizza,fallback
How's the Hammersmith & City line running?,check_status
Umm... next train from Victoria please?,get_arrivals
Can I take the Northern line now?,check_status
Any service disruptions today?,disruptions
What's the fare between Liverpool Street and Baker Street?,get_price
Anything broken on the Underground?,disruptions
Are there any strikes on?,disruptions
Anything broken on the Underground?,disruptions
Any issues on the Hammersmith & City line?,check_status
"Umm, Euston to Waterloo — how much?",get_price
Can you tell me when the train leaves Waterloo?,get_arrivals
Is the Piccadilly line running mate?,check_status
Is it expensive to go from Stratford to King's Cross?,get_price
How much from Euston to Waterloo?,get_price
Do aliens exist?,fallback
What time does the next service leave King's Cross?,get_arrivals
Can I take the Jubilee line now?,check_status
Can I take the Circle line now?,check_status
How tall is Big Ben?,fallback
What's the status of the Circle line?,check_status
Can I take the Hammersmith & City line now?,check_status
"Hey, what's the cost Oxford Circus to Victoria?",get_price
Is the Central line running mate?,check_status
What time does the next service leave Paddington?,get_arrivals
Do aliens exist?,fallback
What's the fare between Green Park and Euston?,get_price
How's the District line running?,check_status
Engineering works anywhere?,disruptions
What's the status of the Piccadilly line?,check_status
Umm... next train from King's Cross please?,get_arrivals
Is the District line running mate?,check_status
Engineering works anywhere?,disruptions
"Hey, what's the cost Oxford Circus to Victoria?",get_price
Cost to travel from Baker Street to Liverpool Street?,get_price
Book me a cab,fallback
Book me a cab,fallback
Anything broken on the Underground?,disruptions
"Hey, what's the cost Oxford Circus to Victoria?",get_price
Order me a pizza,fallback
Sing me a song,fallback
What's the weather like?,fallback
What time does the next service leave Victoria?,get_arrivals
When is the next train from Victoria?,get_arrivals
Engineering works anywhere?,disruptions
Tell me a joke,fallback
Is the Circle line delayed today?,check_status
"Hey, what's the cost Oxford Circus to Victoria?",get_price
Can I take the Circle line now?,check_status
Any issues on the Jubilee line?,check_status
Engineering works anywhere?,disruptions
What's the status of the Piccadilly line?,check_status
Book me a cab,fallback
Any train coming soon at Oxford Circus?,get_arrivals
Can I take the Hammersmith & City line now?,check_status
What's the fare between Paddington and Stratford?,get_price
Do aliens exist?,fallback
Any train coming soon at Euston?,get_arrivals
How long till next train from Victoria?,get_arrivals
Tube status update — issues today?,disruptions
How tall is Big Ben?,fallback
Cost to travel from Green Park to Victoria?,get_price
Can I take the Piccadilly line now?,check_status
Do aliens exist?,fallback
What's the status of the Bakerloo line?,check_status
Is the Circle line delayed today?,check_status
Cost to travel from Green Park to Stratford?,get_price
